ID,Taxon_ID,objid,bitstreamid,tags,mime_type,creator,date,place,permission,source,Comment
a56b9beb7bdc92c6f168b4134e5a2f34,crocutacrocuta,EAEA0-A00A-A652-692B-0,,eating;thumbnail3,image/jpeg,Jerry Friedman,2007-06-28,"Masai Mara National Park, Kenya",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Hyenas_at_stolen_impala_kill.jpg,
f164bee4e741e5b6e5d453b7dcb4ab73,crocutacrocuta,EAEA0-AA34-1A3A-F6CA-0,,general;thumbnail1,image/jpeg,Gastrocycle,unknown,unknown,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:HyenaTanzania.JPG,
919c437a5fb95de96fa841a1eb31dad5,crotalarialotoides,EAEA0-5574-9105-20C1-0,,preserved;thumbnail1,image/jpeg,MBG,,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/29613099,
6718e31b4ed60da4f8927f868eb3a6d3,crotalariaorientalis,EAEA0-756C-A668-7BB2-0,,leaf;thumbnail3,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
c6dd14c8cdc44faf0976f4652d1f7970,crotalariaorientalis,EAEA0-9E2A-25FF-DB54-0,,leaf;thumbnail2,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
fc402e1abc10beb799ffaa2e0ea7fe47,crotalariaorientalis,EAEA0-2E5C-9E5D-ED7A-0,,general;thumbnail1,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
08bbee986323025fb482d6232f62b4b0,crotalariapodocarpa,EAEA0-1834-17F5-51AF-0,,preserved;thumbnail2,image/jpeg,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
6d9f2ed2013b3bf57bff01b125d18fef,crotalariapodocarpa,EAEA0-C64D-6ED7-CB87-0,,,image/jpeg,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
a379feb8b525a5e9571a68af30ea9846,crotalariapodocarpa,EAEA0-EE82-B19D-3CDF-0,,general;thumbnail1,image/tiff,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
c9673687b440fea075d8fdba6332cdc2,crotalariapodocarpa,EAEA0-0515-5BFC-0947-0,,preserved;leaf;thumbnail4,image/jpeg,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
db8fd8fe7c7a1bd2a1d1766e109f2ef7,crotalariapodocarpa,EAEA0-3670-9374-7E38-0,,preserved;thumbnail3,image/jpeg,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
01295101f9c165620c445387e5b15405,crotalariaspartioides,EAEA0-4495-035B-529A-0,,general;thumbnail1,image/jpeg,Taa documentation team (Boden/Güldemann/Naumann),2009-03-29,"Mata-Mata camp (museum), Kgalagadi Transfrontier Park, South Africa",http://en.wikipedia.org/wiki/Public_domain,,
095a63a3f71cf57b7f1e131cefa49198,crotongratissimus,EAEA0-147C-278B-139F-0,,general,image/jpeg,Paul venter,,,http://creativecommons.org/licenses/by-sa/3.0/,http://media.eol.org/data_objects/27768702,
147037a1e52897037d030c33c6312f61,crotongratissimus,EAEA0-5FFB-10B5-ACD7-0,,flower,image/jpeg,Paul venter,,,http://creativecommons.org/licenses/by-sa/3.0/,http://media.eol.org/data_objects/27768701,
7d5a2534dc8a151cda8a2374c45db06c,crotongratissimus,EAEA0-CA01-64C3-84A1-0,,fruit;thumbnail3,image/jpeg,Rob Burrett,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/19240648,
95bafc51bbca1fca5e56b19028019425,crotongratissimus,EAEA0-8019-33A0-3DDD-0,,flower;thumbnail2,image/jpeg,Research Institute Senckenberg,,"Malawi, Zomba",http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21920268,
975ff9dca1d7a409b80645d43c39d15c,crotongratissimus,EAEA0-D760-9FE3-F169-0,,leaf;thumbnail4,image/jpeg,Bart Wursten,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/19240646,
981068f43a3d2b1ad0edcd209bb19227,crotongratissimus,EAEA0-B8E4-6B89-F5E1-0,,general;thumbnail1,image/jpeg,Research Institute Senckenberg,,"Malawi, Zomba",http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21920269,
df4a6c9f592c7d67b037128b45322d9a,crotongratissimus,EAEA0-3911-D997-1EDF-0,,bark,image/jpeg,Paul venter,,,http://creativecommons.org/licenses/by-sa/3.0/,http://media.eol.org/data_objects/27768700,
ea7a6a5c4fa3a807fc1479492e2f3501,crotongratissimus,EAEA0-9702-9AD6-8E63-0,,general;leaf;bud,image/jpeg,Androstachys,,,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/27761588,
9a755acd63d885d654b618308f2124d7,cryptomyshottentotus,EAEA0-D244-47D4-3CA7-0,,general;preserved;thumbnail1,image/jpeg,,,,CC-Zero,"http://commons.wikimedia.org/wiki/File:Cryptomys_hottentotus_-_Museo_Civico_di_Storia_Naturale_Giacomo_Doria_-_Genoa,_Italy_-_DSC02822.JPG",
cfeddd329781ea0e8817ba784ec8725f,cuculusclamosus,EAEA0-D3F2-B6D5-D5CB-0,,general;back;thumbnail1,image/jpeg,Alan Manson,2007-11-17,unknown,http://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Black_Cuckoo_%28Cuculus_clamosus%29.jpg,
f57520a63bd8b3b33c61e26f5b10d1f1,cuculusclamosus,EAEA0-1CD2-5A80-8DA5-0,,general;drawing;thumbnail2,image/jpeg,,,,PD US,http://commons.wikimedia.org/wiki/File:Zoological_Illustrations_Volume_I_Series_2_007.jpg,
4765e53e5f73722dd2ba73f0050b6f91,cucumisafricanus,EAEA0-34A4-922D-7192-0,,fruit;thumbnail4,image/jpeg,Christfried Naumann,2006-04-29,"Corridor Pos 17, Omaheke, Namibia",http://en.wikipedia.org/wiki/Public_domain,,
77c6639be29a257fbdc0152af139ad05,cucumisafricanus,EAEA0-B283-A4B0-C86E-0,,general;flower;thumbnail3,image/jpeg,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
