ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey,Description
acacianebrownii,Acacia nebrownii,,,8122630,Vachellia nebrownii (Burtt Davy) Seigler & Ebinger,Vachellia nebrownii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,
acacianigrescens,Acacia nigrescens,,,3795961,Senegalia nigrescens (Oliv.) P.J.H.Hurter,Senegalia nigrescens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Senegalia,7989631,
acacianiloticasubspkraussiana,Acacia nilotica subsp. kraussiana,,,6709986,Vachellia nilotica subsp. kraussiana (Benth.) Kyal. & Boatwr.,Vachellia nilotica kraussiana,SUBSPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,
acaciarobusta,Acacia robusta,,,8166188,Vachellia robusta (Burch.) Kyal. & Boatwr.,Vachellia robusta,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,
acaciasenegal,Acacia senegal,,,164011701,Acacia senegal Linnaeus 1753,Acacia senegal,SPECIES,Plantae,165070450,Tracheophyta,165070514,Magnoliopsida,165070555,Fabales,165070799,Fabaceae,165070800,Acacia,165070819,
acaciatortilissubspheteracantha,Acacia tortilis subsp. heteracantha,,,6710002,Vachellia tortilis subsp. heteracantha (Burch.) Kyal. & Boatwr.,Vachellia tortilis heteracantha,SUBSPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,
acalyphasegetalis,Acalypha segetalis,,,3056915,Acalypha segetalis Müll.Arg.,Acalypha segetalis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Euphorbiaceae,4691,Acalypha,3055964,
acanthoplus,Acanthoplus,,,1687076,"Acanthoplus Stål, 1873",Acanthoplus,GENUS,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Tettigoniidae,3991,Acanthoplus,1687076,
acanthoplusdiscoidalis,Acanthoplus discoidalis,,,1687077,"Acanthoplus discoidalis (F.Walker, 1869)",Acanthoplus discoidalis,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Tettigoniidae,3991,Acanthoplus,1687076,
acanthosicyosnaudinianus,Acanthosicyos naudinianus,,,7819597,Pseudocucumis naudinianus (Sond.) C.Jeffrey,Pseudocucumis naudinianus,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Cucurbitaceae,6634,Pseudocucumis,8192611,"melon plant, creeping growth, yellow flowers, yellow, thorny, oval-shaped fruits of approx. 250 g, fruit and seeds edible, long root tuber"
acanthospermumhispidum,Acanthospermum hispidum,,,3100375,Acanthospermum hispidum DC.,Acanthospermum hispidum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Acanthospermum,3100362,
accipiterbadius,Accipiter badius,,,2480610,"Accipiter badius (Gmelin, 1788)",Accipiter badius,SPECIES,Animalia,1,Chordata,44,Aves,212,Accipitriformes,7191147,Accipitridae,2877,Accipiter,9405810,carnivore; body-length: 28-30 cm; grey plumage above; russet barring below; yellow legs and cere
achyranthesaspera,Achyranthes aspera,,,3085168,Achyranthes aspera L.,Achyranthes aspera,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Amaranthaceae,3064,Achyranthes,3085166,
