id,scientific_name,synonyms,description,english_name,kingdom,phylum,class,order,family,genus,characteristics,biotope,countries__ids,general_uses,notes,refs__ids,links
brachiarianigropedata,Brachiaria nigropedata,,,Black-footed grass,Plantae,,,,,,"tufted grass; up to 1,2 m tall; the hairy spikelets have a black stalk","rocky area, sandy soil",,,,burke2007[100],
brachystelma,Brachystelma,,,,Plantae,,,,,,,,,,,,
brachystelmaarnotii,Brachystelma arnotii,,,Brachystelma sp.,Plantae,,,Gentianales,Apocynaceae,Brachystelma,,,"BW,NA,ZA",,,,
brachystelmacupulatum,Brachystelma cupulatum,,,Brachystelma sp.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Brachystelma,,,"BW,NA,ZA",,,,
brachystelmadinteri,Brachystelma dinteri,,,,Plantae,,,,,,,,,,,,
brachystelmagymnopodum,Brachystelma gymnopodum,Ceropegia pygmaea,,,Plantae,,,,,,,,,,,,
bradornisinfuscatus,Bradornis infuscatus,,,Chat flycatcher,Animalia,,,,,,,,,,,,
bradornismariquensis,Bradornis mariquensis,,,Mariqua flycatcher,Animalia,,,,,,,,,,,,
bradyporidae,Bradyporidae,,,Armoured ground cricket,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,,,"BW,NA,ZA",,,,
brevicepsadspersus,Breviceps adspersus,,,Transvaal short-headed frog,Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,,,"BW,NA,ZA",,,,
brideliamollis,Bridelia mollis,,,Velvet-leaved bridelia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Bridelia,,,"BW,NA",,,,
broomeiaellipsospora,Broomeia ellipsospora,,,Puff ball,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Broomeiaceae,Broomeia,,,"BW,NA,ZA",,,,
bubalornisalbirostris,Bubalornis albirostris,,,White-billed buffalo weaver,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Bubalornis,,,"BW,NA",,,,
bubo,Bubo,,,Eagle owls,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,,,,,,,
buboafricanus,Bubo africanus,,,Spotted eagle owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,,,"BW,NA,ZA",,,,
bubolacteus,Bubo lacteus,,,Verreaux's eagle owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,,,"BW,MZ,NA,ZA,ZW",,,,
bubulcusibis,Bubulcus ibis,,,Cattle egret,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,carnivore; body-length: 54 cm; white and light brown plumage; yellow bill; breeding bird has a red bill; often found in association with cattle,grassland,"BW,ZA",,,sinclair1994[54],
buddlejasaligna,Buddleja saligna,,,Squarestem butterflybush,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,,,"BW,ZA",,,,
bufogutturalis,Bufo gutturalis,,,Guttural toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Amietophrynus,,,,,,,
burhinidae,Burhinidae,,,Stone-curlews,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,,,,,,,
burhinuscapensis,Burhinus capensis,,,Spotted thick-knee,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,,,"BW,NA,ZA",,,,
burkeaafricana,Burkea africana,,,Wild syringa,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Burkea,,,"BW,ZA",,,,
buteobuteo,Buteo buteo,,,Common buzzard,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,carnivore; body-length: 45-50 cm; plumage colour varies from pale brown to nearly black,,,,,sinclair1994[80],
buteobuteovulpinus,Buteo buteo vulpinus,,,Western steppe-buzzard,Animalia,,,,,,,,,,,,
caelifera,Caelifera,,,Grasshoppers & Locusts,Animalia,,Insecta,Orthoptera,,,,,,,,,
calliphoridae,Calliphoridae,,,Blowflies,Animalia,,,,,,,,,,,,
camelliasinensis,Camellia sinensis,,,Tea,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,,,,,,,
camelusdromedarius,Camelus dromedarius,,,Dromedary camel,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,,,,,,,
campetherabennettii,Campethera bennettii,,,Bennett's woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Campethera,,,,,,,
camponotus,Camponotus,,,Carpenter ants,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,,,,,,http://eol.org/pages/32539/overview
camponotusmaculatus,Camponotus maculatus,,,Carpenter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,,"BW,NA,ZA",,,,
