id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,comments,scientific_name,GBIF_ID
4a8db853f412a8b57285bedecaaa7baa,psydraxlivida,general;flower,image/jpeg,,Bart Wursten,,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/30289120,"Species: Psydrax livida (Hiern) Bridson Date: 2012-12-27 Location: Garura section of Mazowe River Game Reserve, Maramba CL, across Mazowe River from Hippo Pools Habitat: On small rocky hill in miombo woodland",Psydrax livida,2893112
71486ee08f096dde9644e69659c42693,psydraxlivida,general;thumbnail1,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,"http://commons.wikimedia.org/wiki/File:Psydrax_livida,_habitus,_Seringveld.jpg",,Psydrax livida,2893112
bf8b471a964479eb14992d965de6ecd5,ptenopusgarrulus,head;thumbnail2,image/jpeg,,Bernard DUPONT,2012-03-03,"Northern Cape Rural, South Africa",-28.856 21.01,https://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/berniedup/6854290978/sizes/o/,title 'Common Barking Gecko (Ptenopus garrulus) barking',Ptenopus garrulus,2446184
c68321c93fc8bc63dc93210137384c44,ptenopusgarrulus,general;drawing;thumbnail3,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/b/bb/PtenopusGarrulus01.jpg,G. H. Ford,unknown,unknown,,http://en.wikipedia.org/wiki/Public_domain,http://commons.wikimedia.org/wiki/File:Ptenopus_maculatus.jpg,,Ptenopus garrulus,2446184
fc55e7825d55428e96e4b20021cfa624,ptenopusgarrulus,general;thumbnail1,image/jpeg,,Bernard DUPONT,2012-03-08,"Northern Cape Rural, South Africa",-28.856 21.01,https://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/berniedup/6856976432/sizes/o/,title 'Common Barking Gecko (Ptenopus garrulus)',Ptenopus garrulus,2446184
4c734b6a83444196fb789d097235abae,pteroclesnamaqua,general;male;thumbnail1,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:2012-namaqua-sandgrouse-male.jpg,,Pterocles namaqua,2480202
8dd45a78eeee9740b9367b580147fe79,pteroclesnamaqua,general;female;thumbnail2,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:2012-namaqua-sandgrouse-female.jpg,,Pterocles namaqua,2480202
efd5203c72fa87a9930497482ec03a7b,pteroclesnamaqua,general;drawing;thumbnail3,image/jpeg,,Creator:Claude Gibney Finch-Davies,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/27251483,Pterocles namaqua,Pterocles namaqua,2480202
258a4ca7fbf37f46ba436b3476865547,pteroclididae,general;male;flying;thumbnail3,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Chestnut_Bellied_Sandgrouse.jpg,Pterocles exustus,Pteroclididae,5274
e12e78d4693f77e58ee2a374de310bf2,pteroclididae,general;male;drawing;thumbnail1,image/jpeg,,,,,,http://en.wikipedia.org/wiki/Public_domain,http://commons.wikimedia.org/wiki/File:Pterocles_burchelli_1838.jpg,Pterocles burchelli,Pteroclididae,5274
5e3dbeac587dcf4689f286b34df651b3,pulexirritans,thumbnail3,image/jpeg,,Michael Wunderli,2006-03-16,,,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/56006259@N06/14215770989/sizes/o/,title 'Flea',Pulex irritans,1419547
62599c8002dc36d612d24616499aa84d,pulexirritans,general;drawing;thumbnail1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/8/80/PulexIrritans01.jpg,Zsoldos Márton,2004,unknown,,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Pulex_irritans.Emberbolha.jpg,,Pulex irritans,1419547
9ce6de0b8f62986a5dec9a2c270588f3,pulexirritans,preserved;thumbnail2,image/jpeg,,,,,,https://creativecommons.org/licenses/by/3.0/,http://commons.wikimedia.org/wiki/File:2013_Naturkundemuseum_Berlin_pulex_irritans_anagoria.JPG,,Pulex irritans,1419547
