languages__id
afr
amh
arb
asa
bas
bds
bem
byn
cce
cjk
dal
deu
diu
dsh
eng
ewo
fan
fwe
gku
gmv
guz
gwd-gol
gwj
hay
her
hio-g
hio-h
hts
huc
ikx
irk
kam
kck
kde
kel
kik
kin
kmb
knw
kon
kqz
ktz
kua
kuvale
kwn
kwz
laj
lam
lch
lea
lin
loz
lua
lub
lue
lug
lun
luo
lwn-a
lwn-h
mas
mcp
mdj
mer
mfc
mgd
mgw
mhw
mye-or
naq
naq-a
naq-d
naq-hm
naq-n
nba
nbl
ndc
nde
ndo
ngh-e
ngh-w
nhr
nih
niy
nmn-a
nmn-e
nmn-h
nmn-t
nmn-w
nse
nso
nya
nyf
nyk
nyn
nyy
pbr
protoagaw
protohighlandeastcushitic
protokalaharikhoe
protosemitic
protosouthcushitic
protowestriftsoutherncushitic
puu
rng
run
sad
sbs
seh
shg-da
shg-de
sid
sna
som
sot
ssw
suk
swh
toh
toi
tsc
tsn
tso
tum
txk
umb
ven
vmw
xam
xeg
xho
xkv
xuu-a
xuu-b
xuu-k
yao
yey
zne
zul
